"scenario","age","subperiod","mean","lci","uci"
"escalation","5 to 9yo","total",1020,0,13072
"status quo","5 to 9yo","total",771,0,10022
"ceasefire","50 to 59yo","total",440,0,5066
"escalation","50 to 59yo","total",979,0,10898
"status quo","50 to 59yo","total",728,0,8662
"ceasefire","60 to 69yo","total",314,0,3705
"escalation","60 to 69yo","total",703,0,8296
"status quo","60 to 69yo","total",527,0,6415
"ceasefire","70 to 79yo","total",164,0,2024
"escalation","70 to 79yo","total",362,0,4444
"status quo","70 to 79yo","total",274,0,3434
"ceasefire","80 to 100yo","total",49,0,611
"escalation","80 to 100yo","total",111,0,1346
"status quo","80 to 100yo","total",83,0,1093
