"age","month","year","base_mean","base_lci","base_uci","crisis_mean","crisis_lci","crisis_uci","month_start"
"0mo","Dec",2023,0.110713477130173,0.0842039444705927,0.137809958050635,1.56079128251883,0.414902679193517,4.12853592359494,2023-12-07
"1to11mo","Dec",2023,1.21786730410783,0.926257882110164,1.51593325799899,17.1689727464821,4.56400088294955,45.4146057509253,2023-12-07
"12to59mo","Dec",2023,5.09436498089443,3.8745565317202,6.34118124107181,71.818049463881,19.0912769948595,189.970065327384,2023-12-07
"5to9yo","Dec",2023,1.90135493147351,1.44608939416148,2.36670051503894,24.6677896101726,6.53194246810039,67.6852777891313,2023-12-07
"10to14yo","Dec",2023,0.585204455462594,0.445081527100608,0.728429849272306,7.87991032791273,2.09029523532728,21.2511094417669,2023-12-07
"15to19yo","Dec",2023,0.615101188544807,0.467819706024813,0.765643634248697,8.19843885105298,2.17374268839562,22.2070328223039,2023-12-07
"20to29yo","Dec",2023,1.66251930770662,1.26444121435027,2.06941125861343,21.773986195883,5.76832506609444,59.4737934841407,2023-12-07
"30to39yo","Dec",2023,3.52701957113469,2.68250052128098,4.390237139516,45.4166945590081,12.0217489463515,125.070787070995,2023-12-07
"40to49yo","Dec",2023,3.67865618143848,2.7978288538806,4.57898593005697,47.166943638089,12.4823986310479,130.160731526291,2023-12-07
"50to59yo","Dec",2023,6.68336791478917,5.08308433048099,8.31908342008929,85.3713159192339,22.5887057999182,236.019308126904,2023-12-07
"60to69yo","Dec",2023,3.3114223597669,2.51852648591867,4.12187376204304,42.3133246672884,11.1960228529392,116.961165634592,2023-12-07
"70to79yo","Dec",2023,4.91288564673319,3.73653109730713,6.11528589322349,65.0194749499991,17.2335046463214,176.708901242157,2023-12-07
"80to100yo","Dec",2023,7.24288663421475,5.50863038324721,9.01554109851559,92.9978163258994,24.6129325086315,256.458814724236,2023-12-07
"0mo","Nov",2023,0.0470869673915218,0.035812337307973,0.0586112293567263,0.749749462472811,0.191353854041519,1.88856531659194,2023-11-07
"1to11mo","Nov",2023,0.51796474577617,0.393941874301181,0.644733610915273,8.24737313185883,2.10492532971558,20.7745435367827,2023-11-07
"12to59mo","Nov",2023,2.16681004275891,1.6479832198231,2.69712422404733,34.5007505099861,8.80546155080279,86.9055244819748,2023-11-07
"5to9yo","Nov",2023,0.539338296972086,0.410197684927778,0.671338214709253,7.30627701555757,1.93867655567077,19.6534037810799,2023-11-07
"10to14yo","Nov",2023,0.242565741756992,0.184485148319918,0.301932299143209,3.51232318344288,0.925647520174851,9.18851712491019,2023-11-07
"15to19yo","Nov",2023,0.196976860089864,0.149812191062314,0.24518580329668,2.86864286273691,0.754500715276967,7.48697023111339,2023-11-07
"20to29yo","Nov",2023,0.454878540431963,0.345961199595985,0.566207422980294,6.38028992250052,1.69567644325764,16.9125332850891,2023-11-07
"30to39yo","Nov",2023,0.823548652833412,0.626355948973415,1.02510740554367,10.9557759414873,2.90456160831021,29.7020237166224,2023-11-07
"40to49yo","Nov",2023,0.969045283724132,0.737014475340316,1.20621349234811,12.6277592144022,3.34450482186173,34.5753717070989,2023-11-07
"50to59yo","Nov",2023,1.70376568760793,1.29581145014134,2.12075245059186,21.8967410914256,5.79549154086999,60.3567910315255,2023-11-07
"60to69yo","Nov",2023,1.84356507195288,1.40213689399462,2.29476692282662,23.6026700805995,6.24581984246302,65.1804220830805,2023-11-07
"70to79yo","Nov",2023,2.55658780444303,1.94443154618297,3.18229783054153,34.9839426155795,9.28712404834529,93.7028106286613,2023-11-07
"80to100yo","Nov",2023,3.73444925800337,2.84026268617177,4.64843403827494,48.2760573168333,12.7810756885092,132.693720152484,2023-11-07
"0mo","Oct",2023,0.0279481706213029,0.0212561854983911,0.0347883231630893,0.476846399101828,0.119044364938603,1.17676888790363,2023-10-07
