"scenario","age","gender","period","mean","lci","uci"
"ceasefire","20 to 29yo","female","total",273.635787390045,244.31441975558,306.77921344698
"escalation","20 to 29yo","female","total",5891.26229546748,5208.44269745245,6692.15342082238
"status quo","20 to 29yo","female","total",4611.73881219313,4030.7564985872,5266.38744997216
"ceasefire","30 to 39yo","female","total",206.543819043066,184.411670835854,231.560906420679
"escalation","30 to 39yo","female","total",4424.13305548911,3905.86501614364,5027.53773902417
"status quo","30 to 39yo","female","total",3459.20525573416,3021.8162381661,3948.86488357675
"ceasefire","40 to 49yo","female","total",113.730859832398,101.54404261077,127.506235778047
"escalation","40 to 49yo","female","total",2398.61313132103,2101.98990171426,2738.10670907136
"status quo","40 to 49yo","female","total",1868.4216286553,1621.09277825198,2149.93847037831
"ceasefire","50 to 59yo","female","total",91.6374687449759,81.8179990399123,102.73691039922
"escalation","50 to 59yo","female","total",1865.8866273367,1596.2743645198,2155.33802605935
"status quo","50 to 59yo","female","total",1439.38233612168,1215.40956261233,1682.44210453716
"ceasefire","60 to 69yo","female","total",67.0638009636424,59.8775311348482,75.1868038811832
"escalation","60 to 69yo","female","total",1318.05051635971,1095.03405586857,1554.7856149108
"status quo","60 to 69yo","female","total",1007.30562730566,811.196463511485,1208.07489242358
"ceasefire","70 to 79yo","female","total",26.2434551362427,23.4312055654153,29.4222797677782
"escalation","70 to 79yo","female","total",400.611582509702,218.512227815272,575.890573290087
"status quo","70 to 79yo","female","total",279.732397688551,105.460755097743,450.601492167852
"ceasefire","80 to 100yo","female","total",12.660317847582,11.3032865912431,14.1942287245843
"escalation","80 to 100yo","female","total",85.1928682833914,0,259.85063278552
"status quo","80 to 100yo","female","total",52.9929339652279,0,205.762059673818
