"age","scenario","subperiod","base_surv","crisis_surv","excess_surv","base_risk_adj","crisis_risk_adj","excess_risk_adj","base_risk_crude","crisis_risk_crude","excess_risk_crude","base_adj","crisis_adj","excess_adj"
"20 to 29yo","ceasefire","months 1 to 3",0.999968629707086,0.998285346893944,0.998317315056653,3.13702929140014e-05,0.00171465310605556,0.001682684943347,3.13707261126057e-05,0.00171552025110779,0.00168349810333255,0.999986190992114,0.999494529399077,0.999516981941391
"20 to 29yo","ceasefire","months 4 to 6",0.999974124963666,0.997944260836412,0.997970161490148,2.58750363341109e-05,0.00205573916358848,0.00202983850985206,2.58753254039771e-05,0.00205724036439305,0.00203128686838956,0.999988828358228,0.999270284196947,0.999286974892595
"20 to 29yo","escalation","months 1 to 3",0.999968630895392,0.979168939596552,0.979200192840858,3.13691046078812e-05,0.0208310604034482,0.0207998071591422,3.13695377732132e-05,0.0208615933858184,0.0208296766538486,0.999986191529657,0.998536402191073,0.998566012559737
"20 to 29yo","escalation","months 4 to 6",0.999974125405612,0.977438474219686,0.977464351961024,2.58745943875205e-05,0.0225615257803145,0.0225356480389758,2.58748834464364e-05,0.0226286245329887,0.0226021503416126,0.99998882859061,0.997034784302668,0.997057700190835
"20 to 29yo","status quo","months 1 to 3",0.999968581932563,0.983839364121951,0.983871301542797,3.14180674368947e-05,0.0161606358780486,0.0161286984572027,3.14185019710913e-05,0.0161777062737052,0.0161452454970739,0.99998616948074,0.998944819780517,0.998975113764962
"20 to 29yo","status quo","months 4 to 6",0.999974107195695,0.982483236641715,0.982508676875885,2.58928043053164e-05,0.0175167633582846,0.0174913231241154,2.58930938134517e-05,0.0175558913872801,0.0175299982934667,0.999988819098351,0.997771230857356,0.997793772212419
"30 to 39yo","ceasefire","months 1 to 3",0.999915404120798,0.997954614094224,0.998039971825396,8.45958792017321e-05,0.00204538590577619,0.00196002817460383,8.45989187958915e-05,0.00204684684486358,0.00196132095791567,0.999964070531838,0.99928624894869,0.999340860909779
"30 to 39yo","ceasefire","months 4 to 6",0.999930559810653,0.997535193994878,0.997604799065592,6.94401893469587e-05,0.00246480600512156,0.00239520093440826,6.94421505261074e-05,0.00246712011465474,0.00239734690407434,0.999971758087361,0.999062019915673,0.999104856430066
"30 to 39yo","escalation","months 1 to 3",0.999915407131051,0.978798537238476,0.978881898782562,8.45928689490183e-05,0.0212014627615242,0.0211181012174383,8.45959083163462e-05,0.0212440713584655,0.0211589126480568,0.999964071934584,0.997994329984009,0.998071194333216
"30 to 39yo","escalation","months 4 to 6",0.999930560736401,0.976867001747632,0.976935132249999,6.9439263599036e-05,0.0231329982523681,0.0230648677500012,6.94412247161234e-05,0.023217202721475,0.02314746354271,0.999971758604554,0.996373186291345,0.996431756224329
"30 to 39yo","status quo","months 1 to 3",0.999915283096956,0.983565475764972,0.98365008110212,8.47169030440131e-05,0.0164345242350282,0.0163499188978795,8.4719951764793e-05,0.0164588703556392,0.0163728592696627,0.999964014134612,0.99852079030426,0.998598878094209
"30 to 39yo","status quo","months 4 to 6",0.999930522591985,0.982088093139738,0.982156364879227,6.94774080152172e-05,0.0179119068602624,0.0178436351207731,6.94793716828399e-05,0.017960689818867,0.0178911773411787,0.99997173740097,0.997283903953772,0.997342700287467
"40 to 49yo","ceasefire","months 1 to 3",0.999669053566749,0.997048418083359,0.997381829156288,0.000330946433250601,0.00295158191664069,0.00261817084371185,0.000330989181240419,0.00295510489172569,0.00262081205499047,0.999870847773157,0.998807834166946,0.998992216449254
"40 to 49yo","ceasefire","months 4 to 6",0.999694619154817,0.996289222315666,0.996594358217857,0.000305380845182834,0.00371077768433403,0.00340564178214253,0.000305415682715153,0.00371590006949957,0.00340971353383563,0.999885934042388,0.998621495446666,0.998805837601108
"40 to 49yo","escalation","months 1 to 3",0.999669059216955,0.980180245772911,0.980506245777651,0.00033094078304452,0.0198197542270895,0.0194937542223491,0.000330983529258456,0.0198891750960959,0.0195567049218647,0.99987085093318,0.996509615473193,0.99678111932623
"40 to 49yo","escalation","months 4 to 6",0.999694621192901,0.977430285476755,0.977729768487708,0.000305378807099022,0.0225697145232451,0.0222702315122921,0.000305413644022053,0.0226923264586693,0.0223860318398486,0.999885935275933,0.994596766636179,0.994827116820662
"40 to 49yo","status quo","months 1 to 3",0.999668826406528,0.984613632155735,0.984943772259526,0.000331173593471568,0.0153863678442645,0.0150562277404742,0.000331216412864752,0.0154280792356594,0.0150928984362009,0.999870720799086,0.997296397642392,0.997570334427037
"40 to 49yo","status quo","months 4 to 6",0.999694537215928,0.982467053891063,0.982766752514811,0.000305462784071509,0.0175329461089372,0.0172332474851888,0.000305497646095015,0.0176064577318243,0.0173015106949784,0.999885884477501,0.995824735218929,0.996054494258159
"5 to 9yo","ceasefire","months 1 to 3",0.999985657873893,0.998698243915292,0.998712673398392,1.43421261072918e-05,0.00130175608470751,0.00128732660160813,1.43421968294602e-05,0.00130226803712423,0.00128782037657077,0.999995068944514,0.999606876309542,0.999616580874456
"5 to 9yo","ceasefire","months 4 to 6",0.999994816659823,0.998465910677507,0.998471121252551,5.18334017696187e-06,0.00153408932249333,0.00152887874744945,5.18334936356558e-06,0.0015347680624866,0.00152954955854837,0.999998227670361,0.999557757286028,0.999561432256202
"5 to 9yo","escalation","months 1 to 3",0.999985659622546,0.985551471520866,0.985565709685251,1.43403774541806e-05,0.0144485284791344,0.0144342903147493,1.43404481596868e-05,0.014465909900259,0.0144514639883753,0.999995069505121,0.998798456423103,0.998811630874227
"5 to 9yo","escalation","months 4 to 6",0.999994817175165,0.984270468930583,0.984275743395421,5.18282483519261e-06,0.0157295310694172,0.0157242566045793,5.18283402008377e-06,0.0157648100392483,0.0157594514323549,0.99999822782456,0.997762169684044,0.997766747914629
"5 to 9yo","status quo","months 1 to 3",0.999985587571244,0.988786068163036,0.988800528427653,1.44124287561054e-05,0.0112139318369643,0.011199471572347,1.4412500145299e-05,0.011223900226837,0.0112092767992437,0.999995046716885,0.999111860434323,0.999125257849168
"5 to 9yo","status quo","months 4 to 6",0.999994795941082,0.98775525105732,0.987760426234326,5.2040589184621e-06,0.0122447489426804,0.0122395737656741,5.20406817286786e-06,0.0122658077136451,0.0122605684908976,0.999998221697821,0.998283132146175,0.998287622206175
"50 to 59yo","ceasefire","months 1 to 3",0.998892024854337,0.994752620214292,0.995865195735636,0.00110797514566274,0.00524737978570766,0.0041348042643643,0.00110843039784629,0.00525911486984654,0.00414195743343182,0.999589282119622,0.997768619923828,0.998272997928521
"50 to 59yo","ceasefire","months 4 to 6",0.998969577961036,0.994638793319771,0.995665468610054,0.00103042203896364,0.0053612066802291,0.00433453138994644,0.00103079613348192,0.00537304436505605,0.00434190931745497,0.999637081954303,0.997796838435966,0.998300764256207
"50 to 59yo","escalation","months 1 to 3",0.998892041937821,0.975323434193835,0.976407753063964,0.00110795806217867,0.0246765658061648,0.0235922469360359,0.00110841329622755,0.0248195898108609,0.023709312486978,0.999589292143615,0.994237454938377,0.995062465391757
"50 to 59yo","escalation","months 4 to 6",0.998969584023726,0.973283935378422,0.974289773115741,0.00103041597627418,0.0267160646215783,0.0257102268842588,0.00103079006465253,0.0269070278008675,0.0258748820797383,0.99963708577413,0.992902851228962,0.993636485183891
"50 to 59yo","status quo","months 1 to 3",0.998891338032081,0.980587122024884,0.981683347331863,0.00110866196791937,0.0194128779751165,0.0183166526681369,0.0011091179493337,0.0195051085829673,0.0183886192515419,0.999588879239938,0.99527146401372,0.996086351975613
"50 to 59yo","status quo","months 4 to 6",0.998969334217383,0.9790862782476,0.980094170373582,0.00103066578261723,0.0209137217523996,0.0199058296264178,0.00103104012399165,0.0210330930442087,0.0200049336902299,0.999636928412673,0.994324596408231,0.995046018879808
"60 to 69yo","ceasefire","months 1 to 3",0.997295245364283,0.990155287832046,0.992863161525039,0.00270475463571729,0.00984471216795357,0.00713683847496116,0.0027073734502395,0.00988438512656824,0.00715770551899092,0.99903271027424,0.995986299794407,0.997084674135532
"60 to 69yo","ceasefire","months 4 to 6",0.997401508066993,0.990252108176365,0.992834616085939,0.00259849193300687,0.00974789182363456,0.00716538391406107,0.00260083372782612,0.00978668769867245,0.00718585397084633,0.999099598411776,0.996035852350417,0.997151339719913
"60 to 69yo","escalation","months 1 to 3",0.997295279553259,0.966535561236018,0.969165748959628,0.00270472044674108,0.0334644387639816,0.0308342510403722,0.0027073391722946,0.033800335521782,0.0310884277168349,0.999032730889311,0.990062324748704,0.991824074257538
"60 to 69yo","escalation","months 4 to 6",0.997401526740191,0.963827309757916,0.966348525733093,0.00259847325980922,0.0361726902420838,0.0336514742669072,0.0026008150072246,0.0365954836482049,0.0339883315053656,0.999099610157249,0.988446841960461,0.990089032808061
"60 to 69yo","status quo","months 1 to 3",0.997293870835215,0.973206841282786,0.975866215915985,0.00270612916478452,0.0267931587172137,0.024133784084015,0.00270875155674266,0.0270183866278236,0.0242948975463956,0.999031881697822,0.991663902300591,0.993368423881067
"60 to 69yo","status quo","months 4 to 6",0.997400757332071,0.971278719891304,0.973807009052108,0.00259924266792888,0.0287212801086956,0.0261929909478924,0.00260158636870849,0.0289948386036125,0.0264001788715061,0.999099126283948,0.990565269265448,0.992152025763837
"70 to 79yo","ceasefire","months 1 to 3",0.992279557733443,0.975271042422994,0.982937634048899,0.00772044226655666,0.0247289575770062,0.0170623659511014,0.00774191832372868,0.0249714672103275,0.0171777319730267,0.997226003133333,0.990288530854889,0.99328397822795
"70 to 79yo","ceasefire","months 4 to 6",0.992660692809235,0.978597404918254,0.985861889157735,0.00733930719076537,0.0214025950817456,0.0141381108422655,0.00735797772918313,0.0215831348994828,0.0142175174971448,0.997462544858798,0.99163514389462,0.994414872012976
"70 to 79yo","escalation","months 1 to 3",0.99227967240529,0.950689002999485,0.958129675627515,0.00772032759470975,0.0493109970005154,0.0418703243724849,0.00774180280203167,0.0503101156407447,0.042561337484963,0.997226071514469,0.980140800165044,0.9837642998714
"70 to 79yo","escalation","months 4 to 6",0.992660753301324,0.951261796597582,0.95835929761358,0.00733924669867625,0.0487382034024181,0.0416407023864199,0.00735791680201416,0.0497146683412573,0.0423245320481118,0.99746258297827,0.980358615044227,0.983843184351937
"70 to 79yo","status quo","months 1 to 3",0.992274947486137,0.959083439369354,0.966623466708674,0.00772505251386313,0.0409165606306462,0.0333765332913264,0.00774656274457617,0.041607645251911,0.033821555502751,0.997223254826393,0.983390441418141,0.986842053690037
"70 to 79yo","status quo","months 4 to 6",0.992658260794027,0.9604654210824,0.967587516869514,0.00734173920597281,0.0395345789176001,0.0324124831304864,0.00736042723798627,0.0401755000007386,0.0328286913105501,0.997461012600326,0.984046966854758,0.987321816269601
"80 to 100yo","ceasefire","months 1 to 3",0.96397171769743,0.893971812309743,0.928314033504835,0.0360282823025697,0.106028187690257,0.0716859664951649,0.0364618582963684,0.110278941527616,0.0736043926959761,0.988108779583463,0.961454528140409,0.973935982207811
"80 to 100yo","ceasefire","months 4 to 6",0.965700740649237,0.914265299664727,0.947404246328206,0.0342992593507631,0.0857347003352728,0.0525957536717943,0.0346713415407307,0.0883027764046303,0.0535558115624698,0.989268307096495,0.970917380246462,0.982073693542003
"80 to 100yo","escalation","months 1 to 3",0.963972240610555,0.853402493364024,0.886270273417905,0.0360277593894454,0.146597506635976,0.113729726582095,0.0364613167089073,0.155500126335176,0.119039991240354,0.988109115122658,0.942748472885409,0.955390918607032
"80 to 100yo","escalation","months 4 to 6",0.965701020487486,0.870760793890787,0.902778154763276,0.0342989795125141,0.129239206109213,0.0972218452367238,0.0346710520553853,0.135837286683859,0.100967723462221,0.989268495738844,0.951426587384639,0.962900240819052
"80 to 100yo","status quo","months 1 to 3",0.963950694700042,0.868575748921207,0.90213307300574,0.0360493052999579,0.131424251078793,0.0978669269942597,0.0364836322155559,0.13828067093208,0.101635157586901,0.988095293992882,0.950416643142739,0.96292394598376
"80 to 100yo","status quo","months 4 to 6",0.965689490100434,0.887044919843246,0.919390957213782,0.034310509899566,0.112955080156754,0.0806090427862178,0.034682979975832,0.117630415370316,0.0829899735015383,0.989260724524663,0.960254027847782,0.971310622056334
