date,North Gaza,North Gazasmooth,Gaza,Gazasmooth,Deir Al-Balah,Deir Al-Balahsmooth,Khan Younis,Khan Younissmooth,Rafah,Rafahsmooth
5/17/24,,,,,,,,,0.734296737,
5/16/24,,,,,,,,,0.784296737,
5/15/24,,,,,,,,,0.834296737,
5/14/24,,,,,,,,,0.884296737,
5/13/24,,,,,,,,,0.934296737,
5/12/24,,,,,,,,,0.984296737,
5/11/24,,,,,,,,,1.034296737,
5/10/24,,,,,,,,,1.084296737,
5/9/24,,,,,,,,,1.134296737,
5/8/24,,,,,,,,,1.184296737,
5/7/24,,,,,,,,,1.234296737,
5/6/24,,,,,,,,,1.284296737,
5/5/24,,,,,,,,,1.284296737,
5/4/24,,,,,,,,,1.284296737,
5/3/24,,,,,,,,,1.284296737,
5/2/24,,,,,,,,,1.284296737,
5/1/24,0.108842214,0.10894567,0.194864025,0.189302644,0.447571248,0.44757889,0.254123777,0.248162852,1.284296737,1.295707943
4/30/24,0.108802955,0.108985482,0.193376792,0.188811388,0.44740981,0.447599121,0.252011449,0.247729592,1.288096994,1.296572416
4/29/24,0.10876174,0.109068311,0.191390439,0.187847945,0.447434603,0.447647129,0.249391109,0.246874479,1.29272011,1.298260135
4/28/24,0.10876428,0.109199813,0.189132399,0.186448488,0.447639329,0.447738758,0.246871998,0.245615226,1.297289995,1.300695714
4/27/24,0.108762637,0.109386748,0.187088077,0.184663041,0.447826846,0.447898768,0.245353332,0.243967948,1.300667108,1.303781496
4/26/24,0.108876843,0.109635254,0.184615215,0.182552056,0.447755949,0.44816001,0.243588926,0.241940029,1.304861067,1.307410651
4/25/24,0.109172205,0.109949085,0.18195998,0.180183562,0.447690411,0.448559908,0.242113566,0.239527172,1.308761838,1.311478273
4/24/24,0.109652549,0.110328097,0.17910902,0.177631055,0.447241764,0.449133249,0.240524157,0.236716691,1.313170509,1.315888908
4/23/24,0.110096443,0.110767305,0.175888673,0.174971482,0.446624061,0.449901626,0.238321245,0.233496844,1.318767579,1.320560743
4/22/24,0.110784543,0.111256698,0.171800266,0.172282497,0.446972056,0.45086141,0.234960946,0.22986966,1.325180189,1.325427734
4/21/24,0.111537693,0.111781973,0.168103518,0.169638276,0.448304303,0.451973377,0.231046652,0.225863216,1.330705835,1.330441157
4/20/24,0.112354327,0.112326148,0.164718776,0.167104043,0.450626808,0.453157661,0.225733139,0.221539028,1.33626495,1.335571121
4/19/24,0.11307181,0.112871958,0.16177546,0.164730178,0.45447039,0.454297103,0.219487255,0.216991096,1.340893085,1.340807665
