"scenario","age","gender","all_mean","all_median","all_lci","all_uci","counted_mean","counted_median","counted_lci","counted_uci","uncounted_mean","uncounted_median","uncounted_lci","uncounted_uci"
"ceasefire","80 to 100yo","female",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","80 to 100yo","female",54.1553121677604,0,0,218.271599183107,45.9026019648162,0,0,184.562471995005,8.25271020294416,0,0,33.5913748646999
"escalation","80 to 100yo","female",89.1194488788786,54.8885791398923,0,274.21991780975,75.717660169536,46.4994604537467,0,233.785787298556,13.4017887093426,8.37733064371945,0,41.266353225529
"ceasefire","all","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","all","male",30598.4356251992,30657.795039445,26611.2102399457,34996.1822711328,25939.4453891391,25975.7956681687,22730.4017042738,29580.9543165594,4658.99023606013,4685.2522765945,3870.63673891258,5412.85591927389
"escalation","all","male",39321.8179555818,39205.3545642193,34455.6549410157,44304.9836567626,33398.4776019345,33273.868037389,29122.9709298616,37861.8592536539,5923.34035364731,5930.26034200081,5331.32755794477,6443.67191909952
"ceasefire","all","female",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","all","female",23042.4823083533,23098.2706608676,19928.9129463595,26412.3171792179,19533.9506022413,19563.8955920153,17020.9207360688,22327.4827041417,3508.53170611198,3530.9909327694,2912.15150683227,4086.76715759434
"escalation","all","female",29665.5950804048,29603.32006788,25907.2143020679,33483.1897442824,25196.8934265739,25122.819335714,21897.583634991,28597.7457565175,4468.70165383089,4476.71858708377,4009.63066707695,4879.19800390743
"ceasefire","all","all",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","all","all",53640.9179335525,53752.2116338624,46553.0771358044,61412.0161440953,45473.3959913804,45553.0798584929,39732.4898660901,51914.3197618998,8167.52194217211,8220.69414143165,6789.26992038191,9504.43498828034
"escalation","all","all",68987.4130359867,68813.4531729922,60352.0404211642,77695.2083950689,58595.3710285085,58401.3532423055,51015.8017962516,66383.9569790654,10392.0420074782,10405.7236036421,9336.23862491256,11313.7879731603
