"scenario","age","gender","period","mean","lci","uci","deaths"
"escalation","30 to 39yo","female","months 1 to 3","2,214","1,955","2,516","2,214 (1,955 to 2,516)"
"status quo","30 to 39yo","female","months 1 to 3","1,731","1,512","1,976","1,731 (1,512 to 1,976)"
"ceasefire","40 to 49yo","female","months 1 to 3","71","64","79","71 (64 to 79)"
"escalation","40 to 49yo","female","months 1 to 3","1,200","1,052","1,370","1,200 (1,052 to 1,370)"
"status quo","40 to 49yo","female","months 1 to 3","935","811","1,076","935 (811 to 1,076)"
"ceasefire","50 to 59yo","female","months 1 to 3","57","51","64","57 (51 to 64)"
"escalation","50 to 59yo","female","months 1 to 3","934","799","1,078","934 (799 to 1,078)"
"status quo","50 to 59yo","female","months 1 to 3","720","608","842","720 (608 to 842)"
"ceasefire","60 to 69yo","female","months 1 to 3","42","38","47","42 (38 to 47)"
"escalation","60 to 69yo","female","months 1 to 3","660","548","778","660 (548 to 778)"
"status quo","60 to 69yo","female","months 1 to 3","504","406","604","504 (406 to 604)"
"ceasefire","70 to 79yo","female","months 1 to 3","16","15","18","16 (15 to 18)"
"escalation","70 to 79yo","female","months 1 to 3","200","109","288","200 (109 to 288)"
"status quo","70 to 79yo","female","months 1 to 3","140","53","225","140 (53 to 225)"
"ceasefire","80 to 100yo","female","months 1 to 3","8","7","9","8 (7 to 9)"
"escalation","80 to 100yo","female","months 1 to 3","42","0","129","42 (0 to 129)"
"status quo","80 to 100yo","female","months 1 to 3","26","0","102","26 (0 to 102)"
"ceasefire","0mo","male","months 4 to 6","1","1","1","1 (1 to 1)"
"escalation","0mo","male","months 4 to 6","6","0","25","6 (0 to 25)"
"status quo","0mo","male","months 4 to 6","4","0","20","4 (0 to 20)"
"ceasefire","1 to 11mo","male","months 4 to 6","10","9","11","10 (9 to 11)"
"escalation","1 to 11mo","male","months 4 to 6","283","249","323","283 (249 to 323)"
"status quo","1 to 11mo","male","months 4 to 6","221","192","253","221 (192 to 253)"
"ceasefire","12 to 59mo","male","months 4 to 6","57","51","65","57 (51 to 65)"
"escalation","12 to 59mo","male","months 4 to 6","1,624","1,435","1,850","1,624 (1,435 to 1,850)"
"status quo","12 to 59mo","male","months 4 to 6","1,268","1,105","1,449","1,268 (1,105 to 1,449)"
"ceasefire","5 to 9yo","male","months 4 to 6","65","57","73","65 (57 to 73)"
"escalation","5 to 9yo","male","months 4 to 6","1,863","1,647","2,117","1,863 (1,647 to 2,117)"
"status quo","5 to 9yo","male","months 4 to 6","1,458","1,274","1,665","1,458 (1,274 to 1,665)"
"ceasefire","10 to 14yo","male","months 4 to 6","69","61","78","69 (61 to 78)"
"escalation","10 to 14yo","male","months 4 to 6","1,985","1,756","2,256","1,985 (1,756 to 2,256)"
"status quo","10 to 14yo","male","months 4 to 6","1,555","1,357","1,777","1,555 (1,357 to 1,777)"
"ceasefire","15 to 19yo","male","months 4 to 6","66","58","74","66 (58 to 74)"
"escalation","15 to 19yo","male","months 4 to 6","1,890","1,672","2,148","1,890 (1,672 to 2,148)"
"status quo","15 to 19yo","male","months 4 to 6","1,481","1,293","1,692","1,481 (1,293 to 1,692)"
"ceasefire","20 to 29yo","male","months 4 to 6","154","137","175","154 (137 to 175)"
"escalation","20 to 29yo","male","months 4 to 6","4,439","3,927","5,044","4,439 (3,927 to 5,044)"
"status quo","20 to 29yo","male","months 4 to 6","3,477","3,037","3,973","3,477 (3,037 to 3,973)"
"ceasefire","30 to 39yo","male","months 4 to 6","123","109","139","123 (109 to 139)"
"escalation","30 to 39yo","male","months 4 to 6","3,532","3,124","4,013","3,532 (3,124 to 4,013)"
"status quo","30 to 39yo","male","months 4 to 6","2,764","2,415","3,155","2,764 (2,415 to 3,155)"
"ceasefire","40 to 49yo","male","months 4 to 6","59","52","67","59 (52 to 67)"
"escalation","40 to 49yo","male","months 4 to 6","1,670","1,471","1,904","1,670 (1,471 to 1,904)"
"status quo","40 to 49yo","male","months 4 to 6","1,304","1,134","1,492","1,304 (1,134 to 1,492)"
"ceasefire","50 to 59yo","male","months 4 to 6","43","38","48","43 (38 to 48)"
"escalation","50 to 59yo","male","months 4 to 6","1,169","1,011","1,345","1,169 (1,011 to 1,345)"
"status quo","50 to 59yo","male","months 4 to 6","905","774","1,049","905 (774 to 1,049)"
"ceasefire","60 to 69yo","male","months 4 to 6","28","25","32","28 (25 to 32)"
"escalation","60 to 69yo","male","months 4 to 6","743","623","871","743 (623 to 871)"
"status quo","60 to 69yo","male","months 4 to 6","570","464","678","570 (464 to 678)"
"ceasefire","70 to 79yo","male","months 4 to 6","13","12","15","13 (12 to 15)"
"escalation","70 to 79yo","male","months 4 to 6","295","198","392","295 (198 to 392)"
"status quo","70 to 79yo","male","months 4 to 6","214","122","304","214 (122 to 304)"
"ceasefire","80 to 100yo","male","months 4 to 6","3","3","4","3 (3 to 4)"
"escalation","80 to 100yo","male","months 4 to 6","22","0","92","22 (0 to 92)"
"status quo","80 to 100yo","male","months 4 to 6","14","0","73","14 (0 to 73)"
"ceasefire","0mo","female","months 4 to 6","1","1","1","1 (1 to 1)"
"escalation","0mo","female","months 4 to 6","5","0","22","5 (0 to 22)"
"status quo","0mo","female","months 4 to 6","3","0","18","3 (0 to 18)"
"ceasefire","1 to 11mo","female","months 4 to 6","9","8","10","9 (8 to 10)"
"escalation","1 to 11mo","female","months 4 to 6","259","228","295","259 (228 to 295)"
"status quo","1 to 11mo","female","months 4 to 6","202","175","232","202 (175 to 232)"
"ceasefire","12 to 59mo","female","months 4 to 6","53","47","60","53 (47 to 60)"
"escalation","12 to 59mo","female","months 4 to 6","1,498","1,322","1,707","1,498 (1,322 to 1,707)"
"status quo","12 to 59mo","female","months 4 to 6","1,169","1,019","1,337","1,169 (1,019 to 1,337)"
"ceasefire","5 to 9yo","female","months 4 to 6","65","58","74","65 (58 to 74)"
"escalation","5 to 9yo","female","months 4 to 6","1,871","1,654","2,126","1,871 (1,654 to 2,126)"
"status quo","5 to 9yo","female","months 4 to 6","1,465","1,280","1,672","1,465 (1,280 to 1,672)"
"ceasefire","10 to 14yo","female","months 4 to 6","56","49","63","56 (49 to 63)"
"escalation","10 to 14yo","female","months 4 to 6","1,606","1,421","1,825","1,606 (1,421 to 1,825)"
"status quo","10 to 14yo","female","months 4 to 6","1,257","1,098","1,437","1,257 (1,098 to 1,437)"
"ceasefire","15 to 19yo","female","months 4 to 6","45","40","51","45 (40 to 51)"
"escalation","15 to 19yo","female","months 4 to 6","1,302","1,152","1,479","1,302 (1,152 to 1,479)"
"status quo","15 to 19yo","female","months 4 to 6","1,020","891","1,164","1,020 (891 to 1,164)"
"ceasefire","20 to 29yo","female","months 4 to 6","102","91","116","102 (91 to 116)"
"escalation","20 to 29yo","female","months 4 to 6","2,943","2,602","3,344","2,943 (2,602 to 3,344)"
"status quo","20 to 29yo","female","months 4 to 6","2,305","2,014","2,632","2,305 (2,014 to 2,632)"
"ceasefire","30 to 39yo","female","months 4 to 6","77","69","87","77 (69 to 87)"
"escalation","30 to 39yo","female","months 4 to 6","2,210","1,951","2,512","2,210 (1,951 to 2,512)"
"status quo","30 to 39yo","female","months 4 to 6","1,729","1,510","1,973","1,729 (1,510 to 1,973)"
"ceasefire","40 to 49yo","female","months 4 to 6","43","38","48","43 (38 to 48)"
"escalation","40 to 49yo","female","months 4 to 6","1,198","1,050","1,368","1,198 (1,050 to 1,368)"
"status quo","40 to 49yo","female","months 4 to 6","934","810","1,074","934 (810 to 1,074)"
"ceasefire","50 to 59yo","female","months 4 to 6","34","30","39","34 (30 to 39)"
"escalation","50 to 59yo","female","months 4 to 6","932","798","1,077","932 (798 to 1,077)"
"status quo","50 to 59yo","female","months 4 to 6","719","607","841","719 (607 to 841)"
